LIST,name,COMPANY_NAME,RDIST_LABEL,state,SITE,PADD,PRODUCT,SUPPLY,QUANTITY,Company_ID,Location_ID,Year,TYPE,Throughput_ID,Facility_ID,CITY
34,LIMETREE BAY HOLDINGS LLC,LIMETREE BAY REFINING LLC,Puerto Rico-Virgin Islands,Virgin Islands,KINGSHILL,6,CAT REFORMING: LOW PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",46000,34,77,2020,Refinery,935,77,KINGSHILL
35,SINCLAIR OIL CORP,LITTLE AMERICA REFINING CO,Rocky Mountain,Wyoming,EVANSVILLE,4,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Current Year (barrels per stream day)",11500,35,78,2020,Refinery,947,78,EVANSVILLE
36,WORLD OIL CO,LUNDAY THAGARD CO,West Coast,California,SOUTH GATE,5,ASPHALT & ROAD OIL,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",3750,36,79,2020,Refinery,957,79,SOUTH GATE
37,MAGELLAN MIDSTREAM PARTNERS LP,MAGELLAN TERMINAL HOLDINGS LP,Texas Gulf Coast,Texas,CORPUS CHRISTI,3,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),50000,37,15,2020,Refinery,164,15,CORPUS CHRISTI
38,DELTA AIR LINES INC,MONROE ENERGY LLC,East Coast,Pennsylvania,TRAINER,1,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),208000,38,86,2020,Refinery,1062,86,TRAINER
39,SAUDI ARAMCO,Motiva Enterprises LLC,Texas Gulf Coast,Texas,PORT ARTHUR,3,ALKYLATES,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",20500,39,88,2020,Refinery,1091,88,PORT ARTHUR
40,ARCTIC SLOPE REGIONAL CORP,PETRO STAR INC,West Coast,Alaska,NORTH POLE,5,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),22500,40,94,2020,Refinery,1183,94,NORTH POLE
41,PETROMAX REFINING CO LLC,PETROMAX REFINING CO LLC,Texas Gulf Coast,Texas,HOUSTON,3,"TOTAL OPER CAP (PROJECTED, NEXT YEAR)",Atmospheric Crude Distillation Capacity (barrels per stream day),27500,41,69,2020,Refinery,868,69,HOUSTON
42,CARLYLE GROUP,PHILADELPHIA ENERGY SOLUTIONS,East Coast,Pennsylvania,PHILADELPHIA,1,ALKYLATES,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",7500,42,96,2020,Refinery,1190,96,PHILADELPHIA
43,PHILLIPS 66 COMPANY,PHILLIPS 66 COMPANY,West Coast,Washington,FERNDALE,5,ALKYLATES,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",12700,43,9,2020,Refinery,85,9,FERNDALE
44,PLACID OIL CO,PLACID REFINING CO,Louisiana Gulf Coast,Louisiana,PORT ALLEN,3,ALKYLATES,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",7500,44,103,2020,Refinery,1296,103,PORT ALLEN
45,SAN JOAQUIN REFINING CO INC,SAN JOAQUIN REFINING CO INC,West Coast,California,BAKERSFIELD,5,AROMATICS,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",1500,45,73,2020,Refinery,900,73,BAKERSFIELD
46,GREKA ENERGY,SANTA MARIA REFINING COMPANY,West Coast,California,SANTA MARIA,5,ASPHALT & ROAD OIL,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",6300,46,104,2020,Refinery,1309,104,SANTA MARIA
47,ROYAL DUTCH/SHELL GROUP,SHELL CHEMICAL LP,Louisiana Gulf Coast,Alabama,SARALAND,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",22000,47,105,2020,Refinery,1314,105,SARALAND
48,SILVER EAGLE REFINING INC,Silver Eagle Refining,Rocky Mountain,Utah,WOODS CROSS,4,"DESULFURIZATION, DIESEL FUEL","Downstream Charge Capacity, Current Year (barrels per stream day)",3000,48,66,2020,Refinery,833,66,WOODS CROSS
49,TEXAS OIL & CHEMICAL CO,SOUTH HAMPTON RESOURCES INC,Texas Gulf Coast,Texas,SILSBEE,3,AROMATICS,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",3640,49,115,2020,Refinery,1458,115,SILSBEE
50,SUNCOR ENERGY INC,SUNCOR ENERGY (USA) INC,Rocky Mountain,Colorado,COMMERCE CITY EAST,4,CAT CRACKING: FRESH FEED,"Downstream Charge Capacity, Current Year (barrels per stream day)",9000,50,116,2020,Refinery,1463,116,COMMERCE CITY EAST
51,TARGA RESOURCES INC,TARGA CHANNELVIEW LLC,Texas Gulf Coast,Texas,CHANNELVIEW,3,IDLE CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),38000,51,40,2020,Refinery,499,40,CHANNELVIEW
52,STARLIGHT RELATIVITY ACQUISITION CO,THE SAN ANTONIO REFINERY LLC,Texas Inland,Texas,SAN ANTONIO,3,CAT REFORMING: HIGH PRESSURE,"Downstream Charge Capacity, Current Year (barrels per stream day)",6000,52,122,2020,Refinery,1541,122,SAN ANTONIO
53,TOTAL SA,TOTAL PETROCHEMICALS & REFINING USA,Texas Gulf Coast,Texas,PORT ARTHUR,3,ALKYLATES,"Production Capacity, Current Year (barrels per steam day except sulfur and hydrogen)",7500,53,89,2020,Refinery,1110,89,PORT ARTHUR
54,RED APPLE GROUP INC,UNITED REFINING CO,Appalachian No. 1,Pennsylvania,WARREN,1,OPERATING CAPACITY,Atmospheric Crude Distillation Capacity (barrels per stream day),70000,54,125,2020,Refinery,1576,125,WARREN
